OrigRowNum,Table Type,Topic,Question,Table Section,Section Order,Row Type,Qnum2021,Topic2021,Qnum2018,Topic2018,,,,,,,,,,,,,,,,,,,,
34,Closed End,Community connectedness,Q1,Housing status,3,Data,Q1,Community connectedness,Q1,Community connections,Renter,26%,47%,16%,30%,37%,9%,839,,,,,,,,,,,,
35,Closed End,Community connectedness,Q1,Housing status,4,Data,Q1,Community connectedness,Q1,Community connections,"Lives with family or friends, homeless, or some other arrangement",21%,24%,13%,31%,72%,6%,73,,,,,,,,,,,,
36,Closed End,Community connectedness,Q1,Home language,1,Header,Q1,Community connectedness,Q1,Community connections,Results by home language:,,,,,,,,,,,,,,,,,,,
37,Closed End,Community connectedness,Q1,Home language,2,Data,Q1,Community connectedness,Q1,Community connections,English only,17%,41%,24%,38%,42%,9%,3233,,,,,,,,,,,,
38,Closed End,Community connectedness,Q1,Home language,3,Data,Q1,Community connectedness,Q1,Community connections,English plus another language,27%,46%,24%,39%,33%,12%,247,,,,,,,,,,,,
39,Closed End,Community connectedness,Q1,Home language,4,Data,Q1,Community connectedness,Q1,Community connections,Another language only,28%,43%,26%,34%,31%,2%,126,,,,,,,,,,,,
40,Closed End,Community connectedness,Q1,Race / ethnicity,1,Header,Q1,Community connectedness,Q1,Community connections,Results by race/ethnicity:,,,,,,,,,,,,,,,,,,,
41,Closed End,Community connectedness,Q1,Race / ethnicity,2,Data,Q1,Community connectedness,Q1,Community connections,BIPOC,24%,47%,24%,34%,36%,6%,626,,,,,,,,,,,,
42,Closed End,Community connectedness,Q1,Race / ethnicity,3,Data,Q1,Community connectedness,Q1,Community connections,"American Indian, Native American, or Alaska Native",11%,54%,22%,42%,49%,22%,67,,,,,,,,,,,,
43,Closed End,Community connectedness,Q1,Race / ethnicity,4,Data,Q1,Community connectedness,Q1,Community connections,Asian American or Asian,22%,46%,29%,29%,39%,4%,241,,,,,,,,,,,,
44,Closed End,Community connectedness,Q1,Race / ethnicity,5,Data,Q1,Community connectedness,Q1,Community connections,"Black, African American, or African",26%,53%,18%,42%,29%,6%,203,,,,,,,,,,,,
45,Closed End,Community connectedness,Q1,Race / ethnicity,6,Data,Q1,Community connectedness,Q1,Community connections,Latino/a or Hispanic,24%,44%,22%,34%,36%,7%,150,,,,,,,,,,,,
46,Closed End,Community connectedness,Q1,Race / ethnicity,7,Data,Q1,Community connectedness,Q1,Community connections,White or Caucasian alone,17%,41%,26%,38%,42%,9%,2849,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Open End,Community connectedness,Q1B,Title,1,Title,Q1B,Community connectedness,,,1B. Please specify what are the other main reasons you choose to live here.,,,,,,,,,,,,,,,,,,,
49,Open End,Community connectedness,Q1B,Column labels,1,Labels,Q1B,Community connectedness,,,,East Metro overall,Dakota County,Ramsey County (overall),City of Saint Paul,Suburban Ramsey County,Washington County,,,,,,,,,,,,,
49.5, Open End, Community connectedness, Q1B, Region, 1, Header, Q3B_21, Community connectedness,,, Results by region:,,,,,,,,,,,,,,,,,,,
50,Open End,Community connectedness,Q1B,Region,1,Data,Q1B,Community connectedness,,,Transportation,2%,1%,4%,4%,2%,0%,,,,,,,,,,,,,
51,Open End,Community connectedness,Q1B,Region,2,Data,Q1B,Community connectedness,,,Access to public transportation,3%,1%,6%,7%,4%,0%,,,,,,,,,,,,,
52,Open End,Community connectedness,Q1B,Region,3,Data,Q1B,Community connectedness,,,Close to Highways/Free-ways/airport,2%,3%,1%,1%,1%,2%,,,,,,,,,,,,,
53,Open End,Community connectedness,Q1B,Region,4,Data,Q1B,Community connectedness,,,Little traffic/congestion,0.4%,0%,0.1%,0.1%,0%,2%,,,,,,,,,,,,,
54,Open End,Community connectedness,Q1B,Region,5,Data,Q1B,Community connectedness,,,Far from airport,0.3%,0%,1%,0%,2%,0%,,,,,,,,,,,,,
55,Open End,Community connectedness,Q1B,Region,6,Data,Q1B,Community connectedness,,,Services,1%,0.3%,0.2%,0.3%,0%,3%,,,,,,,,,,,,,
56,Open End,Community connectedness,Q1B,Region,7,Data,Q1B,Community connectedness,,,Access to services/resources,3%,5%,3%,0.1%,7%,0%,,,,,,,,,,,,,
57,Open End,Community connectedness,Q1B,Region,8,Data,Q1B,Community connectedness,,,Access to Hospitals/Clinics,1%,0.2%,1%,2%,0.2%,0%,,,,,,,,,,,,,
58,Open End,Community connectedness,Q1B,Region,9,Data,Q1B,Community connectedness,,,Recreation,2%,0.2%,3%,3%,2%,1%,,,,,,,,,,,,,
59,Open End,Community connectedness,Q1B,Region,10,Data,Q1B,Community connectedness,,,"Entertainment/shopping options (bars, theaters, venues, restaurants, etc)",5%,0.1%,9%,12%,5%,1%,,,,,,,,,,,,,
60,Open End,Community connectedness,Q1B,Region,11,Data,Q1B,Community connectedness,,,State and county parks and trails,5%,5%,5%,6%,3%,3%,,,,,,,,,,,,,
61,Open End,Community connectedness,Q1B,Region,12,Data,Q1B,Community connectedness,,,"Close to rural areas/outdoor recreation (lakes, woods)",8%,7%,8%,6%,12%,10%,,,,,,,,,,,,,
62,Open End,Community connectedness,Q1B,Region,13,Data,Q1B,Community connectedness,,,Arts,0.2%,0%,0.3%,1%,0%,0%,,,,,,,,,,,,,
63,Open End,Community connectedness,Q1B,Region,14,Data,Q1B,Community connectedness,,,People,1%,4%,0%,0%,0%,1%,,,,,,,,,,,,,
64,Open End,Community connectedness,Q1B,Region,15,Data,Q1B,Community connectedness,,,Diverse population,0.3%,1%,0%,0%,0%,0%,,,,,,,,,,,,,
65,Open End,Community connectedness,Q1B,Region,16,Data,Q1B,Community connectedness,,,Smaller population,1%,0.2%,0%,0%,0%,5%,,,,,,,,,,,,,
66,Open End,Community connectedness,Q1B,Region,17,Data,Q1B,Community connectedness,,,Work,1%,1%,1%,0.2%,3%,0%,,,,,,,,,,,,,
67,Open End,Community connectedness,Q1B,Region,18,Data,Q1B,Community connectedness,,,Close to work,18%,28%,12%,7%,20%,15%,,,,,,,,,,,,,
68,Open End,Community connectedness,Q1B,Region,19,Data,Q1B,Community connectedness,,,Work/Job Relocation (Moved for work),1%,0.2%,1%,0.4%,3%,0%,,,,,,,,,,,,,
69,Open End,Community connectedness,Q1B,Region,20,Data,Q1B,Community connectedness,,,Start a new life (including marrying),3%,1%,3%,5%,1%,5%,,,,,,,,,,,,,
70,Open End,Community connectedness,Q1B,Region,21,Data,Q1B,Community connectedness,,,Born/Raised Here,16%,12%,25%,29%,18%,5%,,,,,,,,,,,,,
71,Open End,Community connectedness,Q1B,Region,22,Data,Q1B,Community connectedness,,,Other,13%,16%,11%,11%,11%,16%,,,,,,,,,,,,,
72,Open End,Community connectedness,Q1B,Region,23,Data,Q1B,Community connectedness,,,Like the Location (general),5%,7%,2%,3%,2%,5%,,,,,,,,,,,,,
73,Open End,Community connectedness,Q1B,Region,24,Data,Q1B,Community connectedness,,,Close to cities,5%,5%,7%,7%,7%,0%,,,,,,,,,,,,,
74,Open End,Community connectedness,Q1B,Region,25,Data,Q1B,Community connectedness,,,Far from cities,2%,3%,1%,0%,2%,3%,,,,,,,,,,,,,
75,Open End,Community connectedness,Q1B,Region,26,Data,Q1B,Community connectedness,,,More land,3%,0.2%,0.4%,0%,1%,12%,,,,,,,,,,,,,
76,Open End,Community connectedness,Q1B,Region,27,Data,Q1B,Community connectedness,,,Convenient/Closeby to everything (incl walkability),3%,1%,5%,7%,2%,1%,,,,,,,,,,,,,
77,Open End,Community connectedness,Q1B,Region,28,Data,Q1B,Community connectedness,,,Safety,8%,8%,5%,3%,7%,16%,,,,,,,,,,,,,
78,Open End,Community connectedness,Q1B,Region,29,Data,Q1B,Community connectedness,,,Nothing Specific,1%,0.4%,1%,1%,0%,0%,,,,,,,,,,,,,
79,Open End,Community connectedness,Q1B,Region,30,Data,Q1B,Community connectedness,,,Number of respondents (unweighted),404,85,230,137,93,89,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Closed End,Community connectedness,Q2,Title,1,Title,Q2,Community connectedness,Q2,Community connections,2. Do you think of the East Metro as a place where you belong or just a place to live?,,,,,,,,,,,,,,,,,,,
82,Closed End,Community connectedness,Q2,Column labels,1,Labels,Q2,Community connectedness,Q2,Community connections,,A place where I belong,Just a place to live,Number of respondents (unweighted),,,,,,,,,,,,,,,,
83,Closed End,Community connectedness,Q2,Region,1,Header,Q2,Community connectedness,Q2,Community connections,Results by region:,,,,,,,,,,,,,,,,,,,
84,Closed End,Community connectedness,Q2,Region,2,Data,Q2,Community connectedness,Q2,Community connections,East Metro overall,65%,35%,3694,,,,,,,,,,,,,,,,
85,Closed End,Community connectedness,Q2,Region,3,Data,Q2,Community connectedness,Q2,Community connections,Dakota County,65%,35%,922,,,,,,,,,,,,,,,,
86,Closed End,Community connectedness,Q2,Region,4,Data,Q2,Community connectedness,Q2,Community connections,Ramsey County (overall),63%,37%,1999,,,,,,,,,,,,,,,,
87,Closed End,Community connectedness,Q2,Region,5,Data,Q2,Community connectedness,Q2,Community connections,City of Saint Paul,62%,38%,1104,,,,,,,,,,,,,,,,
88,Closed End,Community connectedness,Q2,Region,6,Data,Q2,Community connectedness,Q2,Community connections,Suburban Ramsey County,65%,35%,895,,,,,,,,,,,,,,,,
89,Closed End,Community connectedness,Q2,Region,7,Data,Q2,Community connectedness,Q2,Community connections,Washington County,67%,33%,773,,,,,,,,,,,,,,,,
90,Closed End,Community connectedness,Q2,Gender,1,Header,Q2,Community connectedness,Q2,Community connections,Results by gender identity:,,,,,,,,,,,,,,,,,,,
91,Closed End,Community connectedness,Q2,Gender,2,Data,Q2,Community connectedness,Q2,Community connections,Females,67%,33%,2197,,,,,,,,,,,,,,,,
92,Closed End,Community connectedness,Q2,Gender,3,Data,Q2,Community connectedness,Q2,Community connections,Males,64%,36%,1299,,,,,,,,,,,,,,,,
93,Closed End,Community connectedness,Q2,Age,1,Header,Q2,Community connectedness,Q2,Community connections,Results by age:,,,,,,,,,,,,,,,,,,,
94,Closed End,Community connectedness,Q2,Age,2,Data,Q2,Community connectedness,Q2,Community connections,18-34,58%,42%,456,,,,,,,,,,,,,,,,
95,Closed End,Community connectedness,Q2,Age,3,Data,Q2,Community connectedness,Q2,Community connections,35-44,68%,32%,608,,,,,,,,,,,,,,,,
96,Closed End,Community connectedness,Q2,Age,4,Data,Q2,Community connectedness,Q2,Community connections,45-54,65%,35%,433,,,,,,,,,,,,,,,,
97,Closed End,Community connectedness,Q2,Age,5,Data,Q2,Community connectedness,Q2,Community connections,55-64,69%,31%,554,,,,,,,,,,,,,,,,
98,Closed End,Community connectedness,Q2,Age,6,Data,Q2,Community connectedness,Q2,Community connections,65+,73%,27%,1140,,,,,,,,,,,,,,,,
99,Closed End,Community connectedness,Q2,Education,1,Header,Q2,Community connectedness,Q2,Community connections,Results by education level:,,,,,,,,,,,,,,,,,,,
100,Closed End,Community connectedness,Q2,Education,2,Data,Q2,Community connectedness,Q2,Community connections,"Less than HS diploma, no GED",57%,43%,59,,,,,,,,,,,,,,,,
101,Closed End,Community connectedness,Q2,Education,3,Data,Q2,Community connectedness,Q2,Community connections,HS diploma or GED,60%,40%,316,,,,,,,,,,,,,,,,
102,Closed End,Community connectedness,Q2,Education,4,Data,Q2,Community connectedness,Q2,Community connections,"Some college, trade school, or Associate degree",65%,35%,962,,,,,,,,,,,,,,,,
103,Closed End,Community connectedness,Q2,Education,5,Data,Q2,Community connectedness,Q2,Community connections,Bachelor's degree or higher,68%,32%,2187,,,,,,,,,,,,,,,,
104,Closed End,Community connectedness,Q2,Household income,1,Header,Q2,Community connectedness,Q2,Community connections,Results by household income:,,,,,,,,,,,,,,,,,,,
105,Closed End,Community connectedness,Q2,Household income,2,Data,Q2,Community connectedness,Q2,Community connections,"Less than $20,000",47%,53%,265,,,,,,,,,,,,,,,,
106,Closed End,Community connectedness,Q2,Household income,3,Data,Q2,Community connectedness,Q2,Community connections,"$20,000 to $39,999",56%,44%,370,,,,,,,,,,,,,,,,
107,Closed End,Community connectedness,Q2,Household income,4,Data,Q2,Community connectedness,Q2,Community connections,"$40,000 to $59,999",59%,41%,429,,,,,,,,,,,,,,,,
108,Closed End,Community connectedness,Q2,Household income,5,Data,Q2,Community connectedness,Q2,Community connections,"$60,000 to $79,999",68%,32%,430,,,,,,,,,,,,,,,,
109,Closed End,Community connectedness,Q2,Household income,6,Data,Q2,Community connectedness,Q2,Community connections,"$80,000 to $99,999",67%,33%,323,,,,,,,,,,,,,,,,
110,Closed End,Community connectedness,Q2,Household income,7,Data,Q2,Community connectedness,Q2,Community connections,"$100,000 to $149,999",68%,32%,571,,,,,,,,,,,,,,,,
111,Closed End,Community connectedness,Q2,Household income,8,Data,Q2,Community connectedness,Q2,Community connections,"$150,000 or more",72%,28%,638,,,,,,,,,,,,,,,,
112,Closed End,Community connectedness,Q2,Housing status,1,Header,Q2,Community connectedness,Q2,Community connections,Results by housing status:,,,,,,,,,,,,,,,,,,,
113,Closed End,Community connectedness,Q2,Housing status,2,Data,Q2,Community connectedness,Q2,Community connections,Owner,69%,31%,2779,,,,,,,,,,,,,,,,
114,Closed End,Community connectedness,Q2,Housing status,3,Data,Q2,Community connectedness,Q2,Community connections,Renter,53%,47%,821,,,,,,,,,,,,,,,,
115,Closed End,Community connectedness,Q2,Housing status,4,Data,Q2,Community connectedness,Q2,Community connections,"Lives with family or friends, homeless, or some other arrangement",51%,49%,73,,,,,,,,,,,,,,,,
116,Closed End,Community connectedness,Q2,Home language,1,Header,Q2,Community connectedness,Q2,Community connections,Results by home language:,,,,,,,,,,,,,,,,,,,
117,Closed End,Community connectedness,Q2,Home language,2,Data,Q2,Community connectedness,Q2,Community connections,English only,66%,34%,3193,,,,,,,,,,,,,,,,
118,Closed End,Community connectedness,Q2,Home language,3,Data,Q2,Community connectedness,Q2,Community connections,English plus another language,62%,38%,242,,,,,,,,,,,,,,,,
119,Closed End,Community connectedness,Q2,Home language,4,Data,Q2,Community connectedness,Q2,Community connections,Another language only,54%,46%,125,,,,,,,,,,,,,,,,
120,Closed End,Community connectedness,Q2,Race / ethnicity,1,Header,Q2,Community connectedness,Q2,Community connections,Results by race/ethnicity:,,,,,,,,,,,,,,,,,,,
121,Closed End,Community connectedness,Q2,Race / ethnicity,2,Data,Q2,Community connectedness,Q2,Community connections,BIPOC,56%,44%,615,,,,,,,,,,,,,,,,
122,Closed End,Community connectedness,Q2,Race / ethnicity,3,Data,Q2,Community connectedness,Q2,Community connections,"American Indian, Native American, or Alaska Native",69%,31%,65,,,,,,,,,,,,,,,,
123,Closed End,Community connectedness,Q2,Race / ethnicity,4,Data,Q2,Community connectedness,Q2,Community connections,Asian American or Asian,50%,50%,239,,,,,,,,,,,,,,,,
124,Closed End,Community connectedness,Q2,Race / ethnicity,5,Data,Q2,Community connectedness,Q2,Community connections,"Black, African American, or African",61%,39%,196,,,,,,,,,,,,,,,,
125,Closed End,Community connectedness,Q2,Race / ethnicity,6,Data,Q2,Community connectedness,Q2,Community connections,Latino/a or Hispanic,62%,38%,149,,,,,,,,,,,,,,,,
126,Closed End,Community connectedness,Q2,Race / ethnicity,7,Data,Q2,Community connectedness,Q2,Community connections,White or Caucasian alone,69%,31%,2816,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Closed End,Community connectedness,Q3A,Title,1,Title,Q3A,Community connectedness,Q3A,Community connections,3A. How would you rate the East Metro as a place to live.,,,,,,,,,,,,,,,,,,,
129,Closed End,Community connectedness,Q3A,Column labels,1,Labels,Q3A,Community connectedness,Q3A,Community connections,,Poor,Fair,Good,Excellent,Number of respondents (unweighted),,,,,,,,,,,,,,
130,Closed End,Community connectedness,Q3A,Region,1,Header,Q3A,Community connectedness,Q3A,Community connections,Results by region:,,,,,,,,,,,,,,,,,,,
131,Closed End,Community connectedness,Q3A,Region,2,Data,Q3A,Community connectedness,Q3A,Community connections,East Metro overall,1%,9%,51%,39%,3737,,,,,,,,,,,,,,
132,Closed End,Community connectedness,Q3A,Region,3,Data,Q3A,Community connectedness,Q3A,Community connections,Dakota County,0.2%,5%,47%,47%,934,,,,,,,,,,,,,,
133,Closed End,Community connectedness,Q3A,Region,4,Data,Q3A,Community connectedness,Q3A,Community connections,Ramsey County (overall),2%,15%,52%,31%,2021,,,,,,,,,,,,,,
134,Closed End,Community connectedness,Q3A,Region,5,Data,Q3A,Community connectedness,Q3A,Community connections,City of Saint Paul,4%,20%,51%,26%,1117,,,,,,,,,,,,,,
135,Closed End,Community connectedness,Q3A,Region,6,Data,Q3A,Community connectedness,Q3A,Community connections,Suburban Ramsey County,1%,8%,54%,37%,904,,,,,,,,,,,,,,
136,Closed End,Community connectedness,Q3A,Region,7,Data,Q3A,Community connectedness,Q3A,Community connections,Washington County,0.2%,3%,53%,44%,782,,,,,,,,,,,,,,
137,Closed End,Community connectedness,Q3A,Gender,1,Header,Q3A,Community connectedness,Q3A,Community connections,Results by gender identity:,,,,,,,,,,,,,,,,,,,
138,Closed End,Community connectedness,Q3A,Gender,2,Data,Q3A,Community connectedness,Q3A,Community connections,Females,1%,9%,49%,40%,2218,,,,,,,,,,,,,,
139,Closed End,Community connectedness,Q3A,Gender,3,Data,Q3A,Community connectedness,Q3A,Community connections,Males,1%,8%,51%,40%,1315,,,,,,,,,,,,,,
140,Closed End,Community connectedness,Q3A,Age,1,Header,Q3A,Community connectedness,Q3A,Community connections,Results by age:,,,,,,,,,,,,,,,,,,,
141,Closed End,Community connectedness,Q3A,Age,2,Data,Q3A,Community connectedness,Q3A,Community connections,18-34,2%,10%,51%,37%,459,,,,,,,,,,,,,,
142,Closed End,Community connectedness,Q3A,Age,3,Data,Q3A,Community connectedness,Q3A,Community connections,35-44,1%,7%,50%,42%,611,,,,,,,,,,,,,,
143,Closed End,Community connectedness,Q3A,Age,4,Data,Q3A,Community connectedness,Q3A,Community connections,45-54,1%,11%,48%,40%,437,,,,,,,,,,,,,,
144,Closed End,Community connectedness,Q3A,Age,5,Data,Q3A,Community connectedness,Q3A,Community connections,55-64,1%,8%,50%,41%,560,,,,,,,,,,,,,,
145,Closed End,Community connectedness,Q3A,Age,6,Data,Q3A,Community connectedness,Q3A,Community connections,65+,0.3%,7%,50%,43%,1155,,,,,,,,,,,,,,
146,Closed End,Community connectedness,Q3A,Education,1,Header,Q3A,Community connectedness,Q3A,Community connections,Results by education level:,,,,,,,,,,,,,,,,,,,
147,Closed End,Community connectedness,Q3A,Education,2,Data,Q3A,Community connectedness,Q3A,Community connections,"Less than HS diploma, no GED",0%,20%,51%,29%,61,,,,,,,,,,,,,,
148,Closed End,Community connectedness,Q3A,Education,3,Data,Q3A,Community connectedness,Q3A,Community connections,HS diploma or GED,1%,15%,57%,27%,325,,,,,,,,,,,,,,
149,Closed End,Community connectedness,Q3A,Education,4,Data,Q3A,Community connectedness,Q3A,Community connections,"Some college, trade school, or Associate degree",2%,11%,54%,33%,964,,,,,,,,,,,,,,
150,Closed End,Community connectedness,Q3A,Education,5,Data,Q3A,Community connectedness,Q3A,Community connections,Bachelor's degree or higher,0.3%,5%,46%,49%,2215,,,,,,,,,,,,,,
151,Closed End,Community connectedness,Q3A,Household income,1,Header,Q3A,Community connectedness,Q3A,Community connections,Results by household income:,,,,,,,,,,,,,,,,,,,
152,Closed End,Community connectedness,Q3A,Household income,2,Data,Q3A,Community connectedness,Q3A,Community connections,"Less than $20,000",3%,19%,52%,26%,268,,,,,,,,,,,,,,
153,Closed End,Community connectedness,Q3A,Household income,3,Data,Q3A,Community connectedness,Q3A,Community connections,"$20,000 to $39,999",1%,18%,56%,26%,378,,,,,,,,,,,,,,
154,Closed End,Community connectedness,Q3A,Household income,4,Data,Q3A,Community connectedness,Q3A,Community connections,"$40,000 to $59,999",2%,11%,54%,33%,434,,,,,,,,,,,,,,
155,Closed End,Community connectedness,Q3A,Household income,5,Data,Q3A,Community connectedness,Q3A,Community connections,"$60,000 to $79,999",0.1%,11%,51%,38%,439,,,,,,,,,,,,,,
156,Closed End,Community connectedness,Q3A,Household income,6,Data,Q3A,Community connectedness,Q3A,Community connections,"$80,000 to $99,999",1%,7%,50%,42%,327,,,,,,,,,,,,,,
157,Closed End,Community connectedness,Q3A,Household income,7,Data,Q3A,Community connectedness,Q3A,Community connections,"$100,000 to $149,999",1%,6%,50%,43%,575,,,,,,,,,,,,,,
158,Closed End,Community connectedness,Q3A,Household income,8,Data,Q3A,Community connectedness,Q3A,Community connections,"$150,000 or more",0.2%,2%,46%,51%,639,,,,,,,,,,,,,,
159,Closed End,Community connectedness,Q3A,Housing status,1,Header,Q3A,Community connectedness,Q3A,Community connections,Results by housing status:,,,,,,,,,,,,,,,,,,,
160,Closed End,Community connectedness,Q3A,Housing status,2,Data,Q3A,Community connectedness,Q3A,Community connections,Owner,1%,7%,50%,42%,2805,,,,,,,,,,,,,,
161,Closed End,Community connectedness,Q3A,Housing status,3,Data,Q3A,Community connectedness,Q3A,Community connections,Renter,3%,17%,50%,30%,836,,,,,,,,,,,,,,
162,Closed End,Community connectedness,Q3A,Housing status,4,Data,Q3A,Community connectedness,Q3A,Community connections,"Lives with family or friends, homeless, or some other arrangement",0%,9%,66%,25%,73,,,,,,,,,,,,,,
163,Closed End,Community connectedness,Q3A,Home language,1,Header,Q3A,Community connectedness,Q3A,Community connections,Results by home language:,,,,,,,,,,,,,,,,,,,
164,Closed End,Community connectedness,Q3A,Home language,2,Data,Q3A,Community connectedness,Q3A,Community connections,English only,1%,8%,51%,40%,3226,,,,,,,,,,,,,,
165,Closed End,Community connectedness,Q3A,Home language,3,Data,Q3A,Community connectedness,Q3A,Community connections,English plus another language,0.4%,13%,52%,34%,247,,,,,,,,,,,,,,
166,Closed End,Community connectedness,Q3A,Home language,4,Data,Q3A,Community connectedness,Q3A,Community connections,Another language only,1%,17%,41%,40%,127,,,,,,,,,,,,,,
