OrigRowNum,TableType,Topic,Question,TableSection,SectionOrder,RowType,Question_2021,Qnum2018,Topic2018,TblCol_1,TblCol_2,TblCol_3,TblCol_4,TblCol_5,TblCol_6,TblCol_7,TblCol_8,TblCol_9,TblCol_10,TblCol_11,TblCol_12,TblCol_13,TblCol_14,TblCol_15,TblCol_16,TblCol_17,TblCol_18,TblCol_19,TblCol_20
17,Closed End,COVID-19,Q1_21,Age,5,Data,Q1_21,,,   55-64,7%,16%,35%,37%,4%,508,,,,,,,,,,,,,
18,Closed End,COVID-19,Q1_21,Age,6,Data,Q1_21,,,   65+,3%,13%,44%,33%,7%,854,,,,,,,,,,,,,
19,Closed End,COVID-19,Q1_21,Education,1,Header,Q1_21,,,Results by education level:,,,,,,,,,,,,,,,,,,,
20,Closed End,COVID-19,Q1_21,Education,2,Data,Q1_21,,,   "Less than HS diploma, no GED",7%,14%,28%,38%,14%,96,,,,,,,,,,,,,
21,Closed End,COVID-19,Q1_21,Education,3,Data,Q1_21,,,   HS diploma or GED,3%,15%,39%,34%,9%,362,,,,,,,,,,,,,
22,Closed End,COVID-19,Q1_21,Education,4,Data,Q1_21,,,   "Some college, trade school, or Associate degree",6%,23%,37%,28%,7%,953,,,,,,,,,,,,,
23,Closed End,COVID-19,Q1_21,Education,5,Data,Q1_21,,,   Bachelor's degree or higher,4%,28%,32%,33%,3%,1494,,,,,,,,,,,,,
24,Closed End,COVID-19,Q1_21,Household income,1,Header,Q1_21,,,Results by household income:,,,,,,,,,,,,,,,,,,,
25,Closed End,COVID-19,Q1_21,Household income,2,Data,Q1_21,,,   "Less than $20,000",5%,12%,27%,44%,14%,481,,,,,,,,,,,,,
26,Closed End,COVID-19,Q1_21,Household income,3,Data,Q1_21,,,   "$20,000 to $39,999",10%,19%,22%,40%,10%,421,,,,,,,,,,,,,
27,Closed End,COVID-19,Q1_21,Household income,4,Data,Q1_21,,,   "$40,000 to $59,999",7%,21%,36%,29%,7%,393,,,,,,,,,,,,,
28,Closed End,COVID-19,Q1_21,Household income,5,Data,Q1_21,,,   "$60,000 to $79,999",4%,18%,31%,40%,7%,308,,,,,,,,,,,,,
29,Closed End,COVID-19,Q1_21,Household income,6,Data,Q1_21,,,   "$80,000 to $99,999",2%,21%,42%,28%,6%,270,,,,,,,,,,,,,
30,Closed End,COVID-19,Q1_21,Household income,7,Data,Q1_21,,,   "$100,000 to $149,999",3%,32%,34%,29%,2%,339,,,,,,,,,,,,,
31,Closed End,COVID-19,Q1_21,Household income,8,Data,Q1_21,,,   "$150,000 or more",5%,29%,42%,22%,3%,258,,,,,,,,,,,,,
32,Closed End,COVID-19,Q1_21,Housing status,1,Header,Q1_21,,,Results by housing status:,,,,,,,,,,,,,,,,,,,
33,Closed End,COVID-19,Q1_21,Housing status,2,Data,Q1_21,,,   Owner,4%,26%,37%,29%,5%,1934,,,,,,,,,,,,,
34,Closed End,COVID-19,Q1_21,Housing status,3,Data,Q1_21,,,   Renter,6%,15%,28%,40%,11%,990,,,,,,,,,,,,,
35,Closed End,COVID-19,Q1_21,Housing status,4,Data,Q1_21,,,   "Lives with family or friends, homeless, or some other arrangement",11%,12%,29%,40%,7%,70,,,,,,,,,,,,,
36,Closed End,COVID-19,Q1_21,Home language,1,Header,Q1_21,,,Results by home language:,,,,,,,,,,,,,,,,,,,
37,Closed End,COVID-19,Q1_21,Home language,2,Data,Q1_21,,,   English only,4%,22%,37%,31%,5%,2566,,,,,,,,,,,,,
38,Closed End,COVID-19,Q1_21,Home language,3,Data,Q1_21,,,   English plus another language,8%,24%,21%,35%,13%,240,,,,,,,,,,,,,
39,Closed End,COVID-19,Q1_21,Home language,4,Data,Q1_21,,,   Another language only,15%,18%,28%,30%,10%,102,,,,,,,,,,,,,
40,Closed End,COVID-19,Q1_21,Race / ethnicity,1,Header,Q1_21,,,Results by race/ethnicity:,,,,,,,,,,,,,,,,,,,
41,Closed End,COVID-19,Q1_21,Race / ethnicity,2,Data,Q1_21,,,   BIPOC,9%,28%,24%,29%,10%,758,,,,,,,,,,,,,
42,Closed End,COVID-19,Q1_21,Race / ethnicity,3,Data,Q1_21,,,      "American Indian, Native American, or Alaska Native",13%,14%,20%,36%,18%,128,,,,,,,,,,,,,
43,Closed End,COVID-19,Q1_21,Race / ethnicity,4,Data,Q1_21,,,      Asian American or Asian,4%,32%,20%,36%,8%,208,,,,,,,,,,,,,
44,Closed End,COVID-19,Q1_21,Race / ethnicity,5,Data,Q1_21,,,      "Black, African American, or African",12%,26%,27%,22%,13%,337,,,,,,,,,,,,,
45,Closed End,COVID-19,Q1_21,Race / ethnicity,6,Data,Q1_21,,,      Latino/a or Hispanic,12%,27%,25%,30%,6%,139,,,,,,,,,,,,,
46,Closed End,COVID-19,Q1_21,Race / ethnicity,7,Data,Q1_21,,,   White or Caucasian alone,3%,21%,39%,32%,5%,2029,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Closed End,COVID-19,Q2_21,Title,1,Title,Q2_21,,,2. What are the main areas of your life where COVID-19 has had a negative impact?
(Please select up to three reasons.)",,,,,,,,,,,,,,,,,,,
49,Closed End,COVID-19,Q2_21,Column labels,1,Labels,Q2_21,,,,COVID has not impacted my life,Connections to others in the community,Education access and quality,Housing access and affordability,Transportation access and quality,Health,Economic opportunity and security,Some other area,Number of respondents (unweighted),,,,,,,,,,
50,Closed End,COVID-19,Q2_21,Region,1,Header,Q2_21,,,Results by region:,,,,,,,,,,,,,,,,,,,
51,Closed End,COVID-19,Q2_21,Region,2,Data,Q2_21,,,   East Metro overall,18%,60%,17%,8%,8%,20%,21%,11%,3052,,,,,,,,,,
52,Closed End,COVID-19,Q2_21,Region,3,Data,Q2_21,,,   Dakota County,22%,59%,16%,6%,7%,16%,20%,7%,418,,,,,,,,,,
53,Closed End,COVID-19,Q2_21,Region,4,Data,Q2_21,,,   Ramsey County (overall),15%,63%,16%,11%,11%,24%,23%,13%,2234,,,,,,,,,,
54,Closed End,COVID-19,Q2_21,Region,5,Data,Q2_21,,,      City of Saint Paul,14%,63%,19%,14%,13%,26%,25%,12%,1809,,,,,,,,,,
55,Closed End,COVID-19,Q2_21,Region,6,Data,Q2_21,,,      Suburban Ramsey County,16%,63%,13%,8%,7%,21%,21%,14%,425,,,,,,,,,,
56,Closed End,COVID-19,Q2_21,Region,7,Data,Q2_21,,,   Washington County,18%,58%,18%,6%,2%,17%,20%,15%,400,,,,,,,,,,
57,Closed End,COVID-19,Q2_21,Gender,1,Header,Q2_21,,,Results by gender:,,,,,,,,,,,,,,,,,,,
58,Closed End,COVID-19,Q2_21,Gender,2,Data,Q2_21,,,   Females,17%,64%,16%,8%,6%,21%,18%,12%,1896,,,,,,,,,,
59,Closed End,COVID-19,Q2_21,Gender,3,Data,Q2_21,,,   Males,20%,57%,17%,7%,9%,18%,24%,11%,1003,,,,,,,,,,
60,Closed End,COVID-19,Q2_21,Age,1,Header,Q2_21,,,Results by age:,,,,,,,,,,,,,,,,,,,
61,Closed End,COVID-19,Q2_21,Age,2,Data,Q2_21,,,   18-34,13%,66%,17%,15%,7%,25%,22%,8%,411,,,,,,,,,,
62,Closed End,COVID-19,Q2_21,Age,3,Data,Q2_21,,,   35-44,17%,56%,29%,6%,10%,14%,27%,14%,420,,,,,,,,,,
63,Closed End,COVID-19,Q2_21,Age,4,Data,Q2_21,,,   45-54,18%,54%,24%,5%,7%,17%,22%,12%,363,,,,,,,,,,
64,Closed End,COVID-19,Q2_21,Age,5,Data,Q2_21,,,   55-64,28%,57%,6%,6%,5%,22%,19%,10%,516,,,,,,,,,,
65,Closed End,COVID-19,Q2_21,Age,6,Data,Q2_21,,,   65+,19%,68%,4%,2%,8%,16%,11%,15%,875,,,,,,,,,,
66,Closed End,COVID-19,Q2_21,Education,1,Header,Q2_21,,,Results by education level:,,,,,,,,,,,,,,,,,,,
67,Closed End,COVID-19,Q2_21,Education,2,Data,Q2_21,,,   "Less than HS diploma, no GED",9%,58%,28%,18%,18%,34%,28%,15%,99,,,,,,,,,,
68,Closed End,COVID-19,Q2_21,Education,3,Data,Q2_21,,,   HS diploma or GED,24%,57%,15%,11%,12%,18%,21%,11%,368,,,,,,,,,,
69,Closed End,COVID-19,Q2_21,Education,4,Data,Q2_21,,,   "Some college, trade school, or Associate degree",21%,55%,16%,7%,4%,19%,21%,12%,969,,,,,,,,,,
70,Closed End,COVID-19,Q2_21,Education,5,Data,Q2_21,,,   Bachelor's degree or higher,14%,67%,17%,6%,7%,20%,20%,12%,1513,,,,,,,,,,
71,Closed End,COVID-19,Q2_21,Household income,1,Header,Q2_21,,,Results by household income:,,,,,,,,,,,,,,,,,,,
72,Closed End,COVID-19,Q2_21,Household income,2,Data,Q2_21,,,   "Less than $20,000",20%,59%,16%,23%,19%,28%,30%,10%,488,,,,,,,,,,
73,Closed End,COVID-19,Q2_21,Household income,3,Data,Q2_21,,,   "$20,000 to $39,999",14%,67%,14%,16%,10%,29%,35%,6%,426,,,,,,,,,,
74,Closed End,COVID-19,Q2_21,Household income,4,Data,Q2_21,,,   "$40,000 to $59,999",14%,62%,13%,7%,6%,24%,20%,17%,402,,,,,,,,,,
75,Closed End,COVID-19,Q2_21,Household income,5,Data,Q2_21,,,   "$60,000 to $79,999",15%,57%,15%,7%,9%,24%,29%,15%,312,,,,,,,,,,
76,Closed End,COVID-19,Q2_21,Household income,6,Data,Q2_21,,,   "$80,000 to $99,999",20%,61%,12%,10%,8%,21%,20%,11%,273,,,,,,,,,,
77,Closed End,COVID-19,Q2_21,Household income,7,Data,Q2_21,,,   "$100,000 to $149,999",19%,57%,18%,7%,4%,13%,16%,11%,340,,,,,,,,,,
78,Closed End,COVID-19,Q2_21,Household income,8,Data,Q2_21,,,   "$150,000 or more",26%,58%,22%,3%,6%,14%,12%,11%,257,,,,,,,,,,
79,Closed End,COVID-19,Q2_21,Housing status,1,Header,Q2_21,,,Results by housing status:,,,,,,,,,,,,,,,,,,,
80,Closed End,COVID-19,Q2_21,Housing status,2,Data,Q2_21,,,   Owner,19%,60%,16%,4%,4%,19%,19%,11%,1964,,,,,,,,,,
81,Closed End,COVID-19,Q2_21,Housing status,3,Data,Q2_21,,,   Renter,14%,61%,19%,21%,17%,24%,27%,10%,1005,,,,,,,,,,
82,Closed End,COVID-19,Q2_21,Housing status,4,Data,Q2_21,,,   "Lives with family or friends, homeless, or some other arrangement",28%,50%,20%,28%,9%,22%,26%,20%,70,,,,,,,,,,
83,Closed End,COVID-19,Q2_21,Home language,1,Header,Q2_21,,,Results by home language:,,,,,,,,,,,,,,,,,,,
84,Closed End,COVID-19,Q2_21,Home language,2,Data,Q2_21,,,   English only,20%,60%,14%,7%,7%,18%,19%,11%,2605,,,,,,,,,,
85,Closed End,COVID-19,Q2_21,Home language,3,Data,Q2_21,,,   English plus another language,8%,69%,31%,9%,13%,27%,33%,13%,243,,,,,,,,,,
86,Closed End,COVID-19,Q2_21,Home language,4,Data,Q2_21,,,   Another language only,16%,54%,23%,13%,12%,35%,41%,4%,105,,,,,,,,,,
87,Closed End,COVID-19,Q2_21,Race / ethnicity,1,Header,Q2_21,,,Results by race/ethnicity:,,,,,,,,,,,,,,,,,,,
88,Closed End,COVID-19,Q2_21,Race / ethnicity,2,Data,Q2_21,,,   BIPOC,15%,59%,24%,13%,12%,29%,30%,10%,771,,,,,,,,,,
89,Closed End,COVID-19,Q2_21,Race / ethnicity,3,Data,Q2_21,,,      "American Indian, Native American, or Alaska Native",9%,58%,21%,16%,22%,23%,39%,17%,130,,,,,,,,,,
90,Closed End,COVID-19,Q2_21,Race / ethnicity,4,Data,Q2_21,,,      Asian American or Asian,8%,61%,32%,11%,9%,33%,30%,11%,212,,,,,,,,,,
91,Closed End,COVID-19,Q2_21,Race / ethnicity,5,Data,Q2_21,,,      "Black, African American, or African",22%,52%,14%,19%,20%,22%,31%,12%,346,,,,,,,,,,
92,Closed End,COVID-19,Q2_21,Race / ethnicity,6,Data,Q2_21,,,      Latino/a or Hispanic,16%,65%,25%,8%,7%,32%,28%,4%,138,,,,,,,,,,
93,Closed End,COVID-19,Q2_21,Race / ethnicity,7,Data,Q2_21,,,   White or Caucasian alone,20%,62%,14%,6%,7%,17%,18%,12%,2058,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Closed End,Community connectedness,Q1,Title,1,Title,Q1,Q1,Community connections,What are the main reasons you choose to live here?
(Please select up to two reasons.)",,,,,,,,,,,,,,,,,,,
137,Closed End,Housing,Q1,Column labels,1,Labels,Q1,Q1,Community connections,,Job opportunities,Housing options / prices,Schools,Neighborhood or community,"To be close to family, friends, faith community, etc.",Some other reason,Number of respondents (unweighted),,,,,,,,,,,,
138,Closed End,Housing,Q1,Region,1,Header,Q1,Q1,Community connections,Results by region:,,,,,,,,,,,,,,,,,,,
139,Closed End,Housing,Q1,Region,2,Data,Q1,Q1,Community connections,   East Metro overall,21%,37%,19%,38%,44%,8%,3124,,,,,,,,,,,,
140,Closed End,Housing,Q1,Region,3,Data,Q1,Q1,Community connections,   Dakota County,18%,38%,23%,35%,46%,8%,422,,,,,,,,,,,,
141,Closed End,Housing,Q1,Region,4,Data,Q1,Q1,Community connections,   Ramsey County (overall),23%,38%,16%,37%,43%,9%,2296,,,,,,,,,,,,
142,Closed End,Housing,Q1,Region,5,Data,Q1,Q1,Community connections,      City of Saint Paul,24%,46%,8%,31%,43%,9%,1860,,,,,,,,,,,,
143,Closed End,Housing,Q1,Region,6,Data,Q1,Q1,Community connections,      Suburban Ramsey County,21%,28%,25%,44%,43%,9%,436,,,,,,,,,,,,
144,Closed End,Housing,Q1,Region,7,Data,Q1,Q1,Community connections,   Washington County,20%,34%,19%,46%,45%,5%,406,,,,,,,,,,,,
145,Closed End,Housing,Q1,Gender,1,Header,Q1,Q1,Community connections,Results by gender:,,,,,,,,,,,,,,,,,,,
146,Closed End,Housing,Q1,Gender,2,Data,Q1,Q1,Community connections,   Females,20%,35%,22%,38%,47%,8%,1943,,,,,,,,,,,,
147,Closed End,Housing,Q1,Gender,3,Data,Q1,Q1,Community connections,   Males,21%,38%,15%,40%,41%,8%,1023,,,,,,,,,,,,
148,Closed End,Housing,Q1,Age,1,Header,Q1,Q1,Community connections,Results by age:,,,,,,,,,,,,,,,,,,,
149,Closed End,Housing,Q1,Age,2,Data,Q1,Q1,Community connections,   18-34,29%,47%,17%,36%,45%,5%,417,,,,,,,,,,,,
150,Closed End,Housing,Q1,Age,3,Data,Q1,Q1,Community connections,   35-44,30%,32%,38%,40%,36%,4%,429,,,,,,,,,,,,
151,Closed End,Housing,Q1,Age,4,Data,Q1,Q1,Community connections,   45-54,18%,40%,19%,35%,43%,8%,369,,,,,,,,,,,,
152,Closed End,Housing,Q1,Age,5,Data,Q1,Q1,Community connections,   55-64,13%,29%,11%,41%,48%,10%,533,,,,,,,,,,,,
153,Closed End,Housing,Q1,Age,6,Data,Q1,Q1,Community connections,   65+,10%,31%,8%,42%,50%,11%,893,,,,,,,,,,,,
154,Closed End,Housing,Q1,Education,1,Header,Q1,Q1,Community connections,Results by education level:,,,,,,,,,,,,,,,,,,,
155,Closed End,Housing,Q1,Education,2,Data,Q1,Q1,Community connections,   "Less than HS diploma, no GED",14%,42%,15%,33%,42%,19%,104,,,,,,,,,,,,
156,Closed End,Housing,Q1,Education,3,Data,Q1,Q1,Community connections,   HS diploma or GED,15%,32%,13%,32%,51%,10%,383,,,,,,,,,,,,
157,Closed End,Housing,Q1,Education,4,Data,Q1,Q1,Community connections,   "Some college, trade school, or Associate degree",15%,37%,17%,40%,44%,7%,993,,,,,,,,,,,,
158,Closed End,Housing,Q1,Education,5,Data,Q1,Q1,Community connections,   Bachelor's degree or higher,28%,39%,23%,41%,41%,7%,1537,,,,,,,,,,,,
159,Closed End,Housing,Q1,Household income,1,Header,Q1,Q1,Community connections,Results by household income:,,,,,,,,,,,,,,,,,,,
160,Closed End,Housing,Q1,Household income,2,Data,Q1,Q1,Community connections,   "Less than $20,000",12%,53%,6%,31%,39%,12%,508,,,,,,,,,,,,
161,Closed End,Housing,Q1,Household income,3,Data,Q1,Q1,Community connections,   "$20,000 to $39,999",23%,40%,16%,32%,52%,10%,439,,,,,,,,,,,,
162,Closed End,Housing,Q1,Household income,4,Data,Q1,Q1,Community connections,   "$40,000 to $59,999",18%,40%,16%,38%,45%,6%,409,,,,,,,,,,,,
163,Closed End,Housing,Q1,Household income,5,Data,Q1,Q1,Community connections,   "$60,000 to $79,999",22%,35%,10%,40%,44%,9%,315,,,,,,,,,,,,
164,Closed End,Housing,Q1,Household income,6,Data,Q1,Q1,Community connections,   "$80,000 to $99,999",20%,38%,20%,39%,44%,6%,275,,,,,,,,,,,,
165,Closed End,Housing,Q1,Household income,7,Data,Q1,Q1,Community connections,   "$100,000 to $149,999",25%,33%,21%,42%,42%,8%,344,,,,,,,,,,,,
166,Closed End,Housing,Q1,Household income,8,Data,Q1,Q1,Community connections,   "$150,000 or more",19%,34%,30%,43%,42%,6%,262,,,,,,,,,,,,
167,Closed End,Housing,Q1,Housing status,1,Header,Q1,Q1,Community connections,Results by housing status:,,,,,,,,,,,,,,,,,,,
168,Closed End,Housing,Q1,Housing status,2,Data,Q1,Q1,Community connections,   Owner,18%,35%,22%,40%,45%,8%,2001,,,,,,,,,,,,
169,Closed End,Housing,Q1,Housing status,3,Data,Q1,Q1,Community connections,   Renter,29%,43%,9%,34%,40%,9%,1038,,,,,,,,,,,,
170,Closed End,Housing,Q1,Housing status,4,Data,Q1,Q1,Community connections,   "Lives with family or friends, homeless, or some other arrangement",7%,30%,28%,35%,52%,7%,71,,,,,,,,,,,,
171,Closed End,Housing,Q1,Home language,1,Header,Q1,Q1,Community connections,Results by home language:,,,,,,,,,,,,,,,,,,,
172,Closed End,Housing,Q1,Home language,2,Data,Q1,Q1,Community connections,   English only,19%,36%,18%,39%,44%,8%,2665,,,,,,,,,,,,
173,Closed End,Housing,Q1,Home language,3,Data,Q1,Q1,Community connections,   English plus another language,25%,44%,24%,34%,51%,5%,250,,,,,,,,,,,,
174,Closed End,Housing,Q1,Home language,4,Data,Q1,Q1,Community connections,   Another language only,33%,39%,31%,25%,36%,4%,108,,,,,,,,,,,,
175,Closed End,Housing,Q1,Race / ethnicity,1,Header,Q1,Q1,Community connections,Results by race/ethnicity:,,,,,,,,,,,,,,,,,,,
176,Closed End,Housing,Q1,Race / ethnicity,2,Data,Q1,Q1,Community connections,   BIPOC,27%,39%,26%,37%,44%,3%,796,,,,,,,,,,,,
177,Closed End,Housing,Q1,Race / ethnicity,3,Data,Q1,Q1,Community connections,      "American Indian, Native American, or Alaska Native",7%,56%,18%,34%,34%,4%,133,,,,,,,,,,,,
178,Closed End,Housing,Q1,Race / ethnicity,4,Data,Q1,Q1,Community connections,      Asian American or Asian,31%,44%,33%,35%,47%,2%,217,,,,,,,,,,,,
179,Closed End,Housing,Q1,Race / ethnicity,5,Data,Q1,Q1,Community connections,      "Black, African American, or African",26%,38%,19%,46%,32%,3%,362,,,,,,,,,,,,
180,Closed End,Housing,Q1,Race / ethnicity,6,Data,Q1,Q1,Community connections,      Latino/a or Hispanic,25%,30%,22%,28%,60%,6%,143,,,,,,,,,,,,
181,Closed End,Housing,Q1,Race / ethnicity,7,Data,Q1,Q1,Community connections,   White or Caucasian alone,19%,36%,17%,39%,45%,9%,2101,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Closed End,Housing,Q2,Title,1,Title,Q2,Q2,Community connections,4. Do you think of the East Metro as a place where you belong or just a place to live?,,,,,,,,,,,,,,,,,,,
208,Closed End,Housing,Q2,Column labels,1,Labels,Q2,Q2,Community connections,,A place where I belong,Just a place to live,Number of respondents (unweighted),,,,,,,,,,,,,,,,
209,Closed End,Housing,Q2,Region,1,Header,Q2,Q2,Community connections,Results by region:,,,,,,,,,,,,,,,,,,,
210,Closed End,Housing,Q2,Region,2,Data,Q2,Q2,Community connections,   East Metro overall,63%,37%,3073,,,,,,,,,,,,,,,,
211,Closed End,Housing,Q2,Region,3,Data,Q2,Q2,Community connections,   Dakota County,67%,33%,418,,,,,,,,,,,,,,,,
212,Closed End,Housing,Q2,Region,4,Data,Q2,Q2,Community connections,   Ramsey County (overall),56%,44%,2251,,,,,,,,,,,,,,,,
213,Closed End,Housing,Q2,Region,5,Data,Q2,Q2,Community connections,      City of Saint Paul,52%,48%,1824,,,,,,,,,,,,,,,,
214,Closed End,Housing,Q2,Region,6,Data,Q2,Q2,Community connections,      Suburban Ramsey County,62%,38%,427,,,,,,,,,,,,,,,,
215,Closed End,Housing,Q2,Region,7,Data,Q2,Q2,Community connections,   Washington County,69%,31%,404,,,,,,,,,,,,,,,,
216,Closed End,Housing,Q2,Gender,1,Header,Q2,Q2,Community connections,Results by gender:,,,,,,,,,,,,,,,,,,,
217,Closed End,Housing,Q2,Gender,2,Data,Q2,Q2,Community connections,   Females,68%,32%,1914,,,,,,,,,,,,,,,,
218,Closed End,Housing,Q2,Gender,3,Data,Q2,Q2,Community connections,   Males,58%,42%,1006,,,,,,,,,,,,,,,,
219,Closed End,Housing,Q2,Age,1,Header,Q2,Q2,Community connections,Results by age:,,,,,,,,,,,,,,,,,,,
220,Closed End,Housing,Q2,Age,2,Data,Q2,Q2,Community connections,   18-34,57%,43%,412,,,,,,,,,,,,,,,,
221,Closed End,Housing,Q2,Age,3,Data,Q2,Q2,Community connections,   35-44,69%,31%,423,,,,,,,,,,,,,,,,
222,Closed End,Housing,Q2,Age,4,Data,Q2,Q2,Community connections,   45-54,63%,37%,367,,,,,,,,,,,,,,,,
223,Closed End,Housing,Q2,Age,5,Data,Q2,Q2,Community connections,   55-64,69%,31%,520,,,,,,,,,,,,,,,,
224,Closed End,Housing,Q2,Age,6,Data,Q2,Q2,Community connections,   65+,68%,32%,880,,,,,,,,,,,,,,,,
225,Closed End,Housing,Q2,Education,1,Header,Q2,Q2,Community connections,Results by education level:,,,,,,,,,,,,,,,,,,,
226,Closed End,Housing,Q2,Education,2,Data,Q2,Q2,Community connections,   "Less than HS diploma, no GED",75%,25%,100,,,,,,,,,,,,,,,,
227,Closed End,Housing,Q2,Education,3,Data,Q2,Q2,Community connections,   HS diploma or GED,62%,38%,373,,,,,,,,,,,,,,,,
228,Closed End,Housing,Q2,Education,4,Data,Q2,Q2,Community connections,   "Some college, trade school, or Associate degree",65%,35%,973,,,,,,,,,,,,,,,,
229,Closed End,Housing,Q2,Education,5,Data,Q2,Q2,Community connections,   Bachelor's degree or higher,61%,39%,1523,,,,,,,,,,,,,,,,
230,Closed End,Housing,Q2,Household income,1,Header,Q2,Q2,Community connections,Results by household income:,,,,,,,,,,,,,,,,,,,
231,Closed End,Housing,Q2,Household income,2,Data,Q2,Q2,Community connections,   "Less than $20,000",54%,46%,489,,,,,,,,,,,,,,,,
232,Closed End,Housing,Q2,Household income,3,Data,Q2,Q2,Community connections,   "$20,000 to $39,999",60%,40%,430,,,,,,,,,,,,,,,,
233,Closed End,Housing,Q2,Household income,4,Data,Q2,Q2,Community connections,   "$40,000 to $59,999",66%,34%,407,,,,,,,,,,,,,,,,
234,Closed End,Housing,Q2,Household income,5,Data,Q2,Q2,Community connections,   "$60,000 to $79,999",69%,31%,309,,,,,,,,,,,,,,,,
235,Closed End,Housing,Q2,Household income,6,Data,Q2,Q2,Community connections,   "$80,000 to $99,999",66%,34%,273,,,,,,,,,,,,,,,,
236,Closed End,Housing,Q2,Household income,7,Data,Q2,Q2,Community connections,   "$100,000 to $149,999",58%,42%,344,,,,,,,,,,,,,,,,
237,Closed End,Housing,Q2,Household income,8,Data,Q2,Q2,Community connections,   "$150,000 or more",69%,31%,260,,,,,,,,,,,,,,,,
238,Closed End,Housing,Q2,Housing status,1,Header,Q2,Q2,Community connections,Results by housing status:,,,,,,,,,,,,,,,,,,,
239,Closed End,Housing,Q2,Housing status,2,Data,Q2,Q2,Community connections,   Owner,65%,35%,1981,,,,,,,,,,,,,,,,
240,Closed End,Housing,Q2,Housing status,3,Data,Q2,Q2,Community connections,   Renter,56%,44%,1009,,,,,,,,,,,,,,,,
241,Closed End,Housing,Q2,Housing status,4,Data,Q2,Q2,Community connections,   "Lives with family or friends, homeless, or some other arrangement",57%,43%,71,,,,,,,,,,,,,,,,
242,Closed End,Housing,Q2,Home language,1,Header,Q2,Q2,Community connections,Results by home language:,,,,,,,,,,,,,,,,,,,
243,Closed End,Housing,Q2,Home language,2,Data,Q2,Q2,Community connections,   English only,65%,35%,2629,,,,,,,,,,,,,,,,
244,Closed End,Housing,Q2,Home language,3,Data,Q2,Q2,Community connections,   English plus another language,54%,46%,241,,,,,,,,,,,,,,,,
245,Closed End,Housing,Q2,Home language,4,Data,Q2,Q2,Community connections,   Another language only,43%,57%,105,,,,,,,,,,,,,,,,
246,Closed End,Housing,Q2,Race / ethnicity,1,Header,Q2,Q2,Community connections,Results by race/ethnicity:,,,,,,,,,,,,,,,,,,,
