OrigRowNum,TableType,Topic,Question,TableSection,SectionOrder,RowType,TblCol_1,TblCol_2,TblCol_3,TblCol_4,TblCol_5,TblCol_6,TblCol_7,TblCol_8,TblCol_9,TblCol_10,TblCol_11,TblCol_12,TblCol_13,TblCol_14,TblCol_15,TblCol_16,TblCol_17,TblCol_18,TblCol_19,TblCol_20
26,Closed End,Community  connectedness,Q1_18,Education,5,Data,   Bachelor's degree or higher,7%,21%,13%,11%,17%,32%,1107,,,,,,,,,,,,
27,Closed End,Community  connectedness,Q1_18,Household income,1,Header,Results by household income:,--,--,--,--,--,--,,,,,,,,,,,,,
28,Closed End,Community  connectedness,Q1_18,Household income,2,Data,   "Less than $20,000",1%,18%,22%,12%,11%,35%,139,,,,,,,,,,,,
29,Closed End,Community  connectedness,Q1_18,Household income,3,Data,   "$20,000 to $39,999",12%,20%,12%,8%,17%,31%,240,,,,,,,,,,,,
30,Closed End,Community  connectedness,Q1_18,Household income,4,Data,   "$40,000 to $59,999",5%,23%,6%,11%,12%,42%,255,,,,,,,,,,,,
31,Closed End,Community  connectedness,Q1_18,Household income,5,Data,   "$60,000 to $79,999",4%,18%,16%,9%,10%,43%,242,,,,,,,,,,,,
32,Closed End,Community  connectedness,Q1_18,Household income,6,Data,   "$80,000 to $99,999",2%,15%,9%,14%,11%,49%,213,,,,,,,,,,,,
33,Closed End,Community  connectedness,Q1_18,Household income,7,Data,   "$100,000 to $149,999",5%,13%,13%,13%,20%,37%,312,,,,,,,,,,,,
34,Closed End,Community  connectedness,Q1_18,Household income,8,Data,   "$150,000 or more",1%,22%,12%,7%,25%,32%,230,,,,,,,,,,,,
35,Closed End,Community  connectedness,Q1_18,Housing status,1,Header,Results by housing status:,--,--,--,--,--,--,,,,,,,,,,,,,
36,Closed End,Community  connectedness,Q1_18,Housing status,2,Data,   Owner,2%,12%,9%,10%,17%,49%,1513,,,,,,,,,,,,
37,Closed End,Community  connectedness,Q1_18,Housing status,3,Data,   Renter,9%,32%,15%,11%,12%,20%,399,,,,,,,,,,,,
38,Closed End,Community  connectedness,Q1_18,Housing status,4,Data,   "Lives with family or friends, homeless, or some other arrangement",2%,30%,21%,--,22%,25%,30,,,,,,,,,,,,
39,Closed End,Community  connectedness,Q1_18,Home language,1,Header,Results by home language:,--,--,--,--,--,--,,,,,,,,,,,,,
40,Closed End,Community  connectedness,Q1_18,Home language,2,Data,   English only,4%,17%,11%,9%,17%,42%,1784,,,,,,,,,,,,
41,Closed End,Community  connectedness,Q1_18,Home language,3,Data,   Engish plus another language,5%,24%,16%,9%,7%,39%,96,,,,,,,,,,,,
42,Closed End,Community  connectedness,Q1_18,Home language,4,Data,   Another language only,--,21%,17%,32%,26%,5%,36,,,,,,,,,,,,
43,Closed End,Community  connectedness,Q1_18,Race / ethnicity,1,Header,Results by race/ethnicity:,--,--,--,--,--,--,,,,,,,,,,,,,
44,Closed End,Community  connectedness,Q1_18,Race / ethnicity,2,Data,   "American Indian, Native American, or Alaska Native",16%,10%,12%,2%,8%,52%,30,,,,,,,,,,,,
45,Closed End,Community  connectedness,Q1_18,Race / ethnicity,3,Data,   Asian American or Asian,7%,24%,13%,21%,11%,24%,79,,,,,,,,,,,,
46,Closed End,Community  connectedness,Q1_18,Race / ethnicity,4,Data,   "Black, African American, or African",1%,26%,18%,26%,13%,16%,67,,,,,,,,,,,,
47,Closed End,Community  connectedness,Q1_18,Race / ethnicity,5,Data,   Hispanic or Latinx,3%,45%,20%,6%,16%,11%,41,,,,,,,,,,,,
48,Closed End,Community  connectedness,Q1_18,Race / ethnicity,6,Data,   White or Caucasian,4%,16%,11%,8%,17%,44%,1699,,,,,,,,,,,,
49,,Community  connectedness,,,,,,,,,,,,,,,,,,,,,,,,
50,Closed End,Community  connectedness,Q1,Title,1,Title,What are the main reasons you choose to live here? (Please select up to two),,,,,,,,,,,,,,,,,,,
51,Closed End,Community  connectedness,Q1,Title,2,Labels,,Job opportunities,Housing options / prices,Schools,Neighborhood or community,"To be close to family, friends, faith community, etc.",Some other reason,Number of respondents (unweighted),,,,,,,,,,,,
52,Closed End,Community  connectedness,Q1,Region,1,Header,Results by region:,--,--,--,--,--,--,,,,,,,,,,,,,
53,Closed End,Community  connectedness,Q1,Region,2,Data,   East Metro overall,25%,40%,21%,28%,42%,11%,1941,,,,,,,,,,,,
54,Closed End,Community  connectedness,Q1,Region,3,Data,   Dakota County,24%,43%,25%,24%,49%,8%,441,,,,,,,,,,,,
55,Closed End,Community  connectedness,Q1,Region,4,Data,   Ramsey County (overall),26%,38%,18%,31%,39%,12%,976,,,,,,,,,,,,
56,Closed End,Community  connectedness,Q1,Region,5,Data,      City of Saint Paul,28%,41%,14%,33%,35%,14%,469,,,,,,,,,,,,
57,Closed End,Community  connectedness,Q1,Region,6,Data,      Suburban Ramsey County,23%,35%,23%,28%,43%,9%,507,,,,,,,,,,,,
58,Closed End,Community  connectedness,Q1,Region,7,Data,   Washington County,24%,39%,20%,27%,40%,11%,524,,,,,,,,,,,,
59,Closed End,Community  connectedness,Q1,Gender,1,Header,Results by gender:,--,--,--,--,--,--,,,,,,,,,,,,,
60,Closed End,Community  connectedness,Q1,Gender,2,Data,   Females,21%,41%,21%,27%,45%,10%,1255,,,,,,,,,,,,
61,Closed End,Community  connectedness,Q1,Gender,3,Data,   Males,29%,40%,21%,29%,40%,10%,635,,,,,,,,,,,,
62,Closed End,Community  connectedness,Q1,Age,1,Header,Results by age:,--,--,--,--,--,--,,,,,,,,,,,,,
63,Closed End,Community  connectedness,Q1,Age,2,Data,   18-34,35%,40%,23%,28%,44%,9%,285,,,,,,,,,,,,
64,Closed End,Community  connectedness,Q1,Age,3,Data,   35-44,25%,36%,26%,26%,37%,13%,273,,,,,,,,,,,,
65,Closed End,Community  connectedness,Q1,Age,4,Data,   45-54,20%,46%,22%,33%,38%,9%,298,,,,,,,,,,,,
66,Closed End,Community  connectedness,Q1,Age,5,Data,   55-64,23%,38%,18%,24%,46%,10%,424,,,,,,,,,,,,
67,Closed End,Community  connectedness,Q1,Age,6,Data,   65+,15%,42%,15%,30%,43%,12%,582,,,,,,,,,,,,
68,Closed End,Community  connectedness,Q1,Education,1,Header,Results by education level:,--,--,--,--,--,--,,,,,,,,,,,,,
69,Closed End,Community  connectedness,Q1,Education,2,Data,   "Less than HS diploma, no GED",33%,42%,18%,28%,44%,13%,21,,,,,,,,,,,,
70,Closed End,Community  connectedness,Q1,Education,3,Data,   HS diploma or GED,20%,39%,20%,24%,45%,11%,202,,,,,,,,,,,,
71,Closed End,Community  connectedness,Q1,Education,4,Data,   "Some college, trade school, or Associate degree",22%,41%,18%,30%,42%,14%,561,,,,,,,,,,,,
72,Closed End,Community  connectedness,Q1,Education,5,Data,   Bachelor's degree or higher,30%,41%,26%,30%,39%,6%,1105,,,,,,,,,,,,
73,Closed End,Community  connectedness,Q1,Household income,1,Header,Results by household income:,--,--,--,--,--,--,,,,,,,,,,,,,
74,Closed End,Community  connectedness,Q1,Household income,2,Data,   "Less than $20,000",27%,41%,9%,16%,37%,15%,138,,,,,,,,,,,,
75,Closed End,Community  connectedness,Q1,Household income,3,Data,   "$20,000 to $39,999",30%,43%,20%,29%,37%,12%,241,,,,,,,,,,,,
76,Closed End,Community  connectedness,Q1,Household income,4,Data,   "$40,000 to $59,999",22%,41%,19%,31%,46%,13%,255,,,,,,,,,,,,
77,Closed End,Community  connectedness,Q1,Household income,5,Data,   "$60,000 to $79,999",23%,45%,24%,21%,48%,9%,241,,,,,,,,,,,,
78,Closed End,Community  connectedness,Q1,Household income,6,Data,   "$80,000 to $99,999",24%,39%,18%,36%,40%,12%,213,,,,,,,,,,,,
79,Closed End,Community  connectedness,Q1,Household income,7,Data,   "$100,000 to $149,999",27%,46%,23%,31%,41%,7%,311,,,,,,,,,,,,
80,Closed End,Community  connectedness,Q1,Household income,8,Data,   "$150,000 or more",28%,33%,35%,32%,37%,5%,229,,,,,,,,,,,,
81,Closed End,Community  connectedness,Q1,Housing status,1,Header,Results by housing status:,--,--,--,--,--,--,,,,,,,,,,,,,
82,Closed End,Community  connectedness,Q1,Housing status,2,Data,   Owner,22%,41%,23%,31%,44%,8%,1510,,,,,,,,,,,,
83,Closed End,Community  connectedness,Q1,Housing status,3,Data,   Renter,32%,40%,14%,20%,35%,16%,398,,,,,,,,,,,,
84,Closed End,Community  connectedness,Q1,Housing status,4,Data,   "Lives with family or friends, homeless, or some other arrangement",20%,29%,30%,35%,75%,11%,30,,,,,,,,,,,,
85,Closed End,Community  connectedness,Q1,Home language,1,Header,Results by home language:,--,--,--,--,--,--,,,,,,,,,,,,,
86,Closed End,Community  connectedness,Q1,Home language,2,Data,   English only,24%,41%,21%,28%,43%,11%,1779,,,,,,,,,,,,
87,Closed End,Community  connectedness,Q1,Home language,3,Data,   Engish plus another language,31%,41%,22%,32%,44%,6%,96,,,,,,,,,,,,
88,Closed End,Community  connectedness,Q1,Home language,4,Data,   Another language only,39%,45%,15%,7%,25%,4%,36,,,,,,,,,,,,
89,Closed End,Community  connectedness,Q1,Race / ethnicity,1,Header,Results by race/ethnicity:,--,--,--,--,--,--,,,,,,,,,,,,,
90,Closed End,Community  connectedness,Q1,Race / ethnicity,2,Data,   "American Indian, Native American, or Alaska Native",21%,31%,13%,45%,34%,12%,30,,,,,,,,,,,,
91,Closed End,Community  connectedness,Q1,Race / ethnicity,3,Data,   Asian American or Asian,39%,37%,20%,18%,42%,2%,79,,,,,,,,,,,,
92,Closed End,Community  connectedness,Q1,Race / ethnicity,4,Data,   "Black, African American, or African",22%,41%,15%,34%,42%,13%,66,,,,,,,,,,,,
93,Closed End,Community  connectedness,Q1,Race / ethnicity,5,Data,   Hispanic or Latinx,41%,50%,15%,32%,26%,6%,41,,,,,,,,,,,,
94,Closed End,Community  connectedness,Q1,Race / ethnicity,6,Data,   White or Caucasian,24%,40%,22%,28%,44%,10%,1695,,,,,,,,,,,,
95,,Community  connectedness,,,,,,,,,,,,,,,,,,,,,,,,
96,Closed End,Community  connectedness,Q3A,Title,1,Title,Q3A. How would you rate the East Metro as a place to live?,,,,,,,,,,,,,,,,,,,
97,Closed End,Community  connectedness,Q3A,Title,2,Labels,,Excellent,Good,Fair,Poor,Number of respondents (unweighted),,,,,,,,,,,,,,
98,Closed End,Community  connectedness,Q3A,Region,1,Header,Results by region:,--,--,--,--,,,,,,,,,,,,,,,
99,Closed End,Community  connectedness,Q3A,Region,2,Data,   East Metro overall,50%,43%,6%,1%,1944,,,,,,,,,,,,,,
100,Closed End,Community  connectedness,Q3A,Region,3,Data,   Dakota County,60%,37%,3%,<.5%,442,,,,,,,,,,,,,,
101,Closed End,Community  connectedness,Q3A,Region,4,Data,   Ramsey County (overall),40%,49%,10%,1%,974,,,,,,,,,,,,,,
102,Closed End,Community  connectedness,Q3A,Region,5,Data,      City of Saint Paul,35%,49%,14%,2%,470,,,,,,,,,,,,,,
103,Closed End,Community  connectedness,Q3A,Region,6,Data,      Suburban Ramsey County,46%,49%,5%,--,504,,,,,,,,,,,,,,
104,Closed End,Community  connectedness,Q3A,Region,7,Data,   Washington County,55%,41%,4%,--,528,,,,,,,,,,,,,,
105,Closed End,Community  connectedness,Q3A,Gender,1,Header,Results by gender:,--,--,--,--,,,,,,,,,,,,,,,
106,Closed End,Community  connectedness,Q3A,Gender,2,Data,   Females,51%,41%,7%,1%,1260,,,,,,,,,,,,,,
107,Closed End,Community  connectedness,Q3A,Gender,3,Data,   Males,49%,45%,6%,--,634,,,,,,,,,,,,,,
108,Closed End,Community  connectedness,Q3A,Age,1,Header,Results by age:,--,--,--,--,,,,,,,,,,,,,,,
109,Closed End,Community  connectedness,Q3A,Age,2,Data,   18-34,49%,42%,8%,1%,286,,,,,,,,,,,,,,
110,Closed End,Community  connectedness,Q3A,Age,3,Data,   35-44,48%,45%,7%,<.5%,274,,,,,,,,,,,,,,
111,Closed End,Community  connectedness,Q3A,Age,4,Data,   45-54,59%,35%,5%,1%,300,,,,,,,,,,,,,,
112,Closed End,Community  connectedness,Q3A,Age,5,Data,   55-64,49%,44%,7%,<.5%,425,,,,,,,,,,,,,,
113,Closed End,Community  connectedness,Q3A,Age,6,Data,   65+,46%,50%,4%,<.5%,581,,,,,,,,,,,,,,
114,Closed End,Community  connectedness,Q3A,Education,1,Header,Results by education level:,--,--,--,--,,,,,,,,,,,,,,,
115,Closed End,Community  connectedness,Q3A,Education,2,Data,   "Less than HS diploma, no GED",65%,15%,20%,--,21,,,,,,,,,,,,,,
116,Closed End,Community  connectedness,Q3A,Education,3,Data,   HS diploma or GED,45%,46%,8%,1%,202,,,,,,,,,,,,,,
117,Closed End,Community  connectedness,Q3A,Education,4,Data,   "Some college, trade school, or Associate degree",44%,47%,7%,1%,564,,,,,,,,,,,,,,
118,Closed End,Community  connectedness,Q3A,Education,5,Data,   Bachelor's degree or higher,56%,41%,4%,--,1105,,,,,,,,,,,,,,
119,Closed End,Community  connectedness,Q3A,Household income,1,Header,Results by household income:,--,--,--,--,,,,,,,,,,,,,,,
120,Closed End,Community  connectedness,Q3A,Household income,2,Data,   "Less than $20,000",37%,39%,21%,3%,137,,,,,,,,,,,,,,
121,Closed End,Community  connectedness,Q3A,Household income,3,Data,   "$20,000 to $39,999",41%,49%,10%,--,241,,,,,,,,,,,,,,
122,Closed End,Community  connectedness,Q3A,Household income,4,Data,   "$40,000 to $59,999",42%,50%,6%,2%,254,,,,,,,,,,,,,,
123,Closed End,Community  connectedness,Q3A,Household income,5,Data,   "$60,000 to $79,999",50%,45%,5%,<.5%,242,,,,,,,,,,,,,,
124,Closed End,Community  connectedness,Q3A,Household income,6,Data,   "$80,000 to $99,999",49%,47%,4%,--,214,,,,,,,,,,,,,,
125,Closed End,Community  connectedness,Q3A,Household income,7,Data,   "$100,000 to $149,999",64%,34%,2%,--,312,,,,,,,,,,,,,,
126,Closed End,Community  connectedness,Q3A,Household income,8,Data,   "$150,000 or more",57%,40%,2%,--,230,,,,,,,,,,,,,,
127,Closed End,Community  connectedness,Q3A,Housing status,1,Header,Results by housing status:,--,--,--,--,,,,,,,,,,,,,,,
128,Closed End,Community  connectedness,Q3A,Housing status,2,Data,   Owner,55%,41%,4%,<.5%,1512,,,,,,,,,,,,,,
129,Closed End,Community  connectedness,Q3A,Housing status,3,Data,   Renter,37%,49%,13%,1%,399,,,,,,,,,,,,,,
130,Closed End,Community  connectedness,Q3A,Housing status,4,Data,   "Lives with family or friends, homeless, or some other arrangement",50%,46%,4%,--,30,,,,,,,,,,,,,,
131,Closed End,Community  connectedness,Q3A,Home language,1,Header,Results by home language:,--,--,--,--,,,,,,,,,,,,,,,
132,Closed End,Community  connectedness,Q3A,Home language,2,Data,   English only,50%,43%,6%,<.5%,1783,,,,,,,,,,,,,,
133,Closed End,Community  connectedness,Q3A,Home language,3,Data,   Engish plus another language,50%,42%,7%,2%,96,,,,,,,,,,,,,,
134,Closed End,Community  connectedness,Q3A,Home language,4,Data,   Another language only,50%,34%,16%,--,36,,,,,,,,,,,,,,
135,Closed End,Community  connectedness,Q3A,Race / ethnicity,1,Header,Results by race/ethnicity:,--,--,--,--,,,,,,,,,,,,,,,
136,Closed End,Community  connectedness,Q3A,Race / ethnicity,2,Data,   "American Indian, Native American, or Alaska Native",45%,46%,3%,7%,30,,,,,,,,,,,,,,
137,Closed End,Community  connectedness,Q3A,Race / ethnicity,3,Data,   Asian American or Asian,49%,41%,8%,2%,79,,,,,,,,,,,,,,
138,Closed End,Community  connectedness,Q3A,Race / ethnicity,4,Data,   "Black, African American, or African",38%,38%,23%,2%,67,,,,,,,,,,,,,,
139,Closed End,Community  connectedness,Q3A,Race / ethnicity,5,Data,   Hispanic or Latinx,49%,42%,9%,--,41,,,,,,,,,,,,,,
140,Closed End,Community  connectedness,Q3A,Race / ethnicity,6,Data,   White or Caucasian,52%,42%,5%,<.5%,1698,,,,,,,,,,,,,,
141,,Community  connectedness,,,,,,,,,,,,,,,,,,,,,,,,
142,Closed End,Community  connectedness,Q3B,Title,1,Title,Q3B. How would you rate the East Metro as a place to raise children?,,,,,,,,,,,,,,,,,,,
143,Closed End,Community  connectedness,Q3B,Title,2,Labels,,Excellent,Good,Fair,Poor,Number of respondents (unweighted),,,,,,,,,,,,,,
144,Closed End,Community  connectedness,Q3B,Region,1,Header,Results by region:,--,--,--,--,,,,,,,,,,,,,,,
145,Closed End,Community  connectedness,Q3B,Region,2,Data,   East Metro overall,46%,45%,8%,2%,1884,,,,,,,,,,,,,,
146,Closed End,Community  connectedness,Q3B,Region,3,Data,   Dakota County,55%,41%,3%,<.5%,430,,,,,,,,,,,,,,
147,Closed End,Community  connectedness,Q3B,Region,4,Data,   Ramsey County (overall),35%,48%,13%,3%,939,,,,,,,,,,,,,,
148,Closed End,Community  connectedness,Q3B,Region,5,Data,      City of Saint Paul,29%,47%,19%,5%,448,,,,,,,,,,,,,,
149,Closed End,Community  connectedness,Q3B,Region,6,Data,      Suburban Ramsey County,43%,49%,6%,1%,491,,,,,,,,,,,,,,
150,Closed End,Community  connectedness,Q3B,Region,7,Data,   Washington County,52%,43%,5%,<.5%,515,,,,,,,,,,,,,,
151,Closed End,Community  connectedness,Q3B,Gender,1,Header,Results by gender:,--,--,--,--,,,,,,,,,,,,,,,
152,Closed End,Community  connectedness,Q3B,Gender,2,Data,   Females,49%,41%,8%,3%,1220,,,,,,,,,,,,,,
153,Closed End,Community  connectedness,Q3B,Gender,3,Data,   Males,43%,48%,9%,<.5%,618,,,,,,,,,,,,,,
154,Closed End,Community  connectedness,Q3B,Age,1,Header,Results by age:,--,--,--,--,,,,,,,,,,,,,,,
155,Closed End,Community  connectedness,Q3B,Age,2,Data,   18-34,45%,43%,8%,3%,281,,,,,,,,,,,,,,
156,Closed End,Community  connectedness,Q3B,Age,3,Data,   35-44,45%,43%,11%,<.5%,269,,,,,,,,,,,,,,
157,Closed End,Community  connectedness,Q3B,Age,4,Data,   45-54,57%,34%,8%,2%,297,,,,,,,,,,,,,,
158,Closed End,Community  connectedness,Q3B,Age,5,Data,   55-64,44%,48%,7%,1%,418,,,,,,,,,,,,,,
159,Closed End,Community  connectedness,Q3B,Age,6,Data,   65+,40%,53%,5%,2%,547,,,,,,,,,,,,,,
160,Closed End,Community  connectedness,Q3B,Education,1,Header,Results by education level:,--,--,--,--,,,,,,,,,,,,,,,
161,Closed End,Community  connectedness,Q3B,Education,2,Data,   "Less than HS diploma, no GED",--,--,--,--,18,,,,,,,,,,,,,,
162,Closed End,Community  connectedness,Q3B,Education,3,Data,   HS diploma or GED,41%,46%,11%,2%,192,,,,,,,,,,,,,,
163,Closed End,Community  connectedness,Q3B,Education,4,Data,   "Some college, trade school, or Associate degree",38%,51%,8%,3%,546,,,,,,,,,,,,,,
164,Closed End,Community  connectedness,Q3B,Education,5,Data,   Bachelor's degree or higher,54%,40%,6%,<.5%,1079,,,,,,,,,,,,,,
165,Closed End,Community  connectedness,Q3B,Household income,1,Header,Results by household income:,--,--,--,--,,,,,,,,,,,,,,,
166,Closed End,Community  connectedness,Q3B,Household income,2,Data,   "Less than $20,000",33%,39%,22%,7%,127,,,,,,,,,,,,,,
167,Closed End,Community  connectedness,Q3B,Household income,3,Data,   "$20,000 to $39,999",30%,57%,9%,3%,236,,,,,,,,,,,,,,
168,Closed End,Community  connectedness,Q3B,Household income,4,Data,   "$40,000 to $59,999",42%,48%,7%,3%,248,,,,,,,,,,,,,,
169,Closed End,Community  connectedness,Q3B,Household income,5,Data,   "$60,000 to $79,999",44%,48%,7%,1%,235,,,,,,,,,,,,,,
170,Closed End,Community  connectedness,Q3B,Household income,6,Data,   "$80,000 to $99,999",48%,49%,3%,<.5%,210,,,,,,,,,,,,,,
171,Closed End,Community  connectedness,Q3B,Household income,7,Data,   "$100,000 to $149,999",57%,36%,7%,1%,307,,,,,,,,,,,,,,
172,Closed End,Community  connectedness,Q3B,Household income,8,Data,   "$150,000 or more",61%,36%,3%,--,228,,,,,,,,,,,,,,
173,Closed End,Community  connectedness,Q3B,Housing status,1,Header,Results by housing status:,--,--,--,--,,,,,,,,,,,,,,,
174,Closed End,Community  connectedness,Q3B,Housing status,2,Data,   Owner,50%,43%,6%,1%,1475,,,,,,,,,,,,,,
175,Closed End,Community  connectedness,Q3B,Housing status,3,Data,   Renter,31%,50%,14%,5%,376,,,,,,,,,,,,,,
176,Closed End,Community  connectedness,Q3B,Housing status,4,Data,   "Lives with family or friends, homeless, or some other arrangement",69%,21%,10%,--,30,,,,,,,,,,,,,,
177,Closed End,Community  connectedness,Q3B,Home language,1,Header,Results by home language:,--,--,--,--,,,,,,,,,,,,,,,
178,Closed End,Community  connectedness,Q3B,Home language,2,Data,   English only,46%,44%,8%,1%,1728,,,,,,,,,,,,,,
179,Closed End,Community  connectedness,Q3B,Home language,3,Data,   Engish plus another language,47%,45%,6%,2%,95,,,,,,,,,,,,,,
180,Closed End,Community  connectedness,Q3B,Home language,4,Data,   Another language only,43%,37%,14%,6%,33,,,,,,,,,,,,,,
181,Closed End,Community  connectedness,Q3B,Race / ethnicity,1,Header,Results by race/ethnicity:,--,--,--,--,,,,,,,,,,,,,,,
182,Closed End,Community  connectedness,Q3B,Race / ethnicity,2,Data,   "American Indian, Native American, or Alaska Native",44%,41%,5%,10%,30,,,,,,,,,,,,,,
183,Closed End,Community  connectedness,Q3B,Race / ethnicity,3,Data,   Asian American or Asian,48%,40%,10%,2%,77,,,,,,,,,,,,,,
184,Closed End,Community  connectedness,Q3B,Race / ethnicity,4,Data,   "Black, African American, or African",36%,44%,13%,7%,66,,,,,,,,,,,,,,
185,Closed End,Community  connectedness,Q3B,Race / ethnicity,5,Data,   Hispanic or Latinx,52%,37%,5%,6%,41,,,,,,,,,,,,,,
186,Closed End,Community  connectedness,Q3B,Race / ethnicity,6,Data,   White or Caucasian,48%,44%,8%,1%,1643,,,,,,,,,,,,,,
187,,Community  connectedness,,,,,,,,,,,,,,,,,,,,,,,,
188,Closed End,Community  connectedness,Q3C,Title,1,Title,Q3C. How would you rate the East Metro as a place to work?,,,,,,,,,,,,,,,,,,,
189,Closed End,Community  connectedness,Q3C,Title,2,Labels,,Excellent,Good,Fair,Poor,Number of respondents (unweighted),,,,,,,,,,,,,,
190,Closed End,Community  connectedness,Q3C,Region,1,Header,Results by region:,--,--,--,--,,,,,,,,,,,,,,,
191,Closed End,Community  connectedness,Q3C,Region,2,Data,   East Metro overall,29%,55%,15%,1%,1875,,,,,,,,,,,,,,
192,Closed End,Community  connectedness,Q3C,Region,3,Data,   Dakota County,29%,57%,14%,1%,421,,,,,,,,,,,,,,
193,Closed End,Community  connectedness,Q3C,Region,4,Data,   Ramsey County (overall),30%,54%,15%,1%,943,,,,,,,,,,,,,,
194,Closed End,Community  connectedness,Q3C,Region,5,Data,      City of Saint Paul,28%,50%,21%,1%,455,,,,,,,,,,,,,,
195,Closed End,Community  connectedness,Q3C,Region,6,Data,      Suburban Ramsey County,32%,59%,9%,1%,488,,,,,,,,,,,,,,
196,Closed End,Community  connectedness,Q3C,Region,7,Data,   Washington County,30%,55%,13%,1%,511,,,,,,,,,,,,,,
197,Closed End,Community  connectedness,Q3C,Gender,1,Header,Results by gender:,--,--,--,--,,,,,,,,,,,,,,,
198,Closed End,Community  connectedness,Q3C,Gender,2,Data,   Females,32%,50%,16%,1%,1217,,,,,,,,,,,,,,
199,Closed End,Community  connectedness,Q3C,Gender,3,Data,   Males,26%,61%,13%,<.5%,611,,,,,,,,,,,,,,
200,Closed End,Community  connectedness,Q3C,Age,1,Header,Results by age:,--,--,--,--,,,,,,,,,,,,,,,
201,Closed End,Community  connectedness,Q3C,Age,2,Data,   18-34,31%,55%,13%,--,283,,,,,,,,,,,,,,
202,Closed End,Community  connectedness,Q3C,Age,3,Data,   35-44,25%,57%,17%,1%,273,,,,,,,,,,,,,,
203,Closed End,Community  connectedness,Q3C,Age,4,Data,   45-54,35%,50%,14%,1%,297,,,,,,,,,,,,,,
204,Closed End,Community  connectedness,Q3C,Age,5,Data,   55-64,32%,53%,14%,1%,410,,,,,,,,,,,,,,
